,Labels,XBRLID_predicted
380,ast rowe price corporate bond five years expense example,rr_ExpenseExampleYear05
381,ast rowe price corporate bond ten years expense example,rr_ExpenseExampleYear10
382,ast western asset corporate bond one year expense example,rr_ExpenseExampleYear01
383,ast western asset corporate bond three years expense example,rr_ExpenseExampleYear03
384,ast western asset corporate bond five years expense example,rr_ExpenseExampleYear05
385,ast western asset corporate bond ten years expense example,rr_ExpenseExampleYear10
386,ast multi sector fixed income one year expense example,rr_ExpenseExampleYear01
387,ast multi sector fixed income three years expense example,rr_ExpenseExampleYear03
388,ast multi sector fixed income five years expense example,rr_ExpenseExampleYear05
389,ast multi sector fixed income ten years expense example,rr_ExpenseExampleYear10
390,bloomberg barclays long corporate index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
391,bloomberg barclays long corporate index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
392,bloomberg barclays long corporate index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
393,expenses estimates based on expenses fund expects incur current fiscal year,rr_OtherExpensesNewFundBasedOnEstimates
394,actual costs higher lower costs based on assumptions one year three years actual costs higher lower costs based on assumptions expense example,rr_ExpenseExampleByYearCaption
395,actual costs higher lower costs based on assumptions expense example,rr_ExpenseExampleYear01
396,one year expense example,rr_ExpenseExampleYear01
397,three years expense example,rr_ExpenseExampleYear03
398,five years expense example,rr_ExpenseExampleYear05
399,ten years expense example,rr_ExpenseExampleYear10
400,fees paid directly investment,rr_ShareholderFeeOther
401,total annual operating expenses,rr_ExpensesOverAssets
402,highest quarter return,rr_HighestQuarterlyReturnLabel
403,lowest quarter return,rr_BarChartLowestQuarterlyReturn
404,year date return,rr_YearToDateReturnLabel
405,return before taxes periods ended fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnLabel
406,return before taxes past one year fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear01
407,return before taxes past five years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear05
408,return before taxes past ten years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear10
409,return after taxes on distributions periods ended fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnLabel
410,return after taxes on distributions past one year fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear01
411,return after taxes on distributions past five years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear05
412,return after taxes on distributions past ten years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear10
413,return after taxes on distributions and sale of fund shares periods ended fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnLabel
414,return after taxes on distributions and sale of fund shares past one year fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear01
415,return after taxes on distributions and sale of fund shares past five years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear05
416,return after taxes on distributions and sale of fund shares past ten years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear10
417,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes periods ended fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnLabel
418,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past one year fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear01
419,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past five years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear05
420,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past ten years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear10
421,fidelity simplicity rmd income composite index reflects deduction fees expenses periods ended fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnLabel
422,fidelity simplicity rmd income composite index reflects deduction fees expenses past one year fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear01
423,fidelity simplicity rmd income composite index reflects deduction fees expenses past five years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear05
424,fidelity simplicity rmd income composite index reflects deduction fees expenses past ten years fidelity simplicity rmd income fund average annual return,rr_AverageAnnualReturnYear10
425,return before taxes periods ended fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnLabel
426,return before taxes past one year fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear01
427,return before taxes past five years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear05
428,return before taxes past ten years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear10
429,return after taxes on distributions periods ended fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnLabel
430,return after taxes on distributions past one year fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear01
431,return after taxes on distributions past five years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear05
432,return after taxes on distributions past ten years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear10
433,return after taxes on distributions and sale of fund shares periods ended fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnLabel
434,return after taxes on distributions and sale of fund shares past one year fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear01
435,return after taxes on distributions and sale of fund shares past five years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear05
436,return after taxes on distributions and sale of fund shares past ten years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear10
437,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes periods ended fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnLabel
438,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past one year fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear01
439,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past five years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear05
440,bloomberg barclays u s aggregate bond index reflects deduction fees expenses taxes past ten years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear10
441,fidelity simplicity rmd composite index reflects deduction fees expenses periods ended fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnLabel
442,fidelity simplicity rmd composite index reflects deduction fees expenses past one year fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear01
443,fidelity simplicity rmd composite index reflects deduction fees expenses past five years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear05
444,fidelity simplicity rmd composite index reflects deduction fees expenses past ten years fidelity simplicity rmd fund average annual return,rr_AverageAnnualReturnYear10
